ticker,lambda,mu_J_asset,sigma_J_asset,omega_avg,max_pd_gbm,max_pd_jump,max_pd_jump_date
AAPL,3.620111731843575,0.006128428339138351,0.06769232687007042,0.9999999999999998,9.660681547121573e-14,0.0,2022-10-28 04:00:00
MSFT,2.212290502793296,-0.006097198255103394,0.0712221565291828,1.0,6.863765273754311e-17,0.0,2022-07-29 04:00:00
JNJ,2.4134078212290504,0.014798895323164451,0.047630464875460535,1.0,1.0672136715407088e-31,0.0,2023-01-30 05:00:00
F,2.815642458100559,-0.005221931813808007,0.1132499453415396,0.9985330514228459,0.0100618902837035,0.15539,2025-02-27 05:00:00
CCL,1.6089385474860336,-0.021786314528161824,0.15521089599245677,0.9895543772678964,0.1093456159265677,0.10132,2022-12-30 05:00:00
AAL,3.217877094972067,-0.029816128103553486,0.12210767517087577,0.9903420530415437,0.0304244703179822,0.239825,2025-04-29 04:00:00
WBD,3.8212290502793294,-0.007594438164612207,0.14579289938549958,0.9947379105960695,0.0211992521805838,0.091085,2024-06-28 04:00:00
CVNA,3.390625,-0.009605417292687931,0.2731120843787216,0.9068335183857369,0.7154297546092032,0.73216,2023-04-28 04:00:00
AMC,3.921244839631629,-0.0103227536237341,0.41630960288443475,0.8696906879184227,0.4947991274789974,0.63535,2023-12-29 05:00:00
SBH,2.9129993916041372,0.0035425660934807657,0.11337628613260879,0.9989221673614918,0.0069492149590178,0.00874,2025-05-30 04:00:00
