date,pd_gbm,pd_jump_rolling,lambda,mu_J_asset,sigma_J_asset,n_jumps_in_window,sigma_diffusive
2023-01-30 05:00:00,0.0304244703179822,0.03058,0.0,0.0,0.0,2,0.1307873374079311
2023-02-27 05:00:00,0.0262879177817035,0.02652,0.0,0.0,0.0,2,0.1245957061367686
2023-03-30 04:00:00,0.0183625415629818,0.01886,0.0,0.0,0.0,2,0.1087576368690812
2023-04-28 04:00:00,0.017972226466664,0.01851,0.0,0.0,0.0,3,0.10288508893762
2023-05-30 04:00:00,0.0109441983220481,0.01133,0.0,0.0,0.0,3,0.1005356685872913
2023-06-29 04:00:00,0.0047974335424909,0.00505,0.0,0.0,0.0,3,0.1050504646097983
2023-07-28 04:00:00,0.003085206409692,0.00335,0.0,0.0,0.0,3,0.0956202284672155
2023-08-30 04:00:00,0.002605523348125,0.00281,0.0,0.0,0.0,3,0.083897336339738
2023-09-29 04:00:00,0.0018453486874319,0.00205,0.0,0.0,0.0,3,0.0712532531398266
2023-10-30 04:00:00,0.0016411587726149,0.00186,0.0,0.0,0.0,3,0.0622949646349215
2023-11-29 05:00:00,0.0012831995584263,0.00153,0.0,0.0,0.0,3,0.0658841582558202
2023-12-29 05:00:00,0.0008648707282906,0.001,0.0,0.0,0.0,2,0.0704044697504699
2024-01-30 05:00:00,0.0014909954027338,0.07545,2.0,-0.039223991594558125,0.09327635151066171,4,0.05
2024-02-28 05:00:00,0.0013288567230541,0.06617,2.0,-0.039218527403310714,0.09326335742712266,4,0.05
2024-03-28 04:00:00,0.0011976078268855,0.06701,2.0,-0.03921470179070603,0.09325425995459241,4,0.05
2024-04-29 04:00:00,0.0013000901018157,0.08138,2.0,-0.039218602221810915,0.09326353534875786,4,0.05
2024-05-30 04:00:00,0.0027972456461319,0.16172,2.5,-0.06058145505350502,0.09386844596293577,5,0.05
2024-06-28 04:00:00,0.0024754185913778,0.16333,2.5,-0.06056598141406443,0.09384447020193108,5,0.05
2024-07-30 04:00:00,0.0027352720660246,0.17295,2.5,-0.060580000508036115,0.09386619220520367,5,0.05
2024-08-30 04:00:00,0.0038618643715834,0.17571,2.5,-0.060636079666621184,0.0939530845299694,5,0.05
2024-09-27 04:00:00,0.0041138523162118,0.15995,2.5,-0.06064525983208397,0.0939673088146934,5,0.05
2024-10-30 04:00:00,0.0037962626213949,0.12532,2.5,-0.06062253310160272,0.09393209469066469,5,0.05
2024-11-29 05:00:00,0.0040811008508355,0.1179,2.5,-0.06063402037146869,0.09394989373774475,5,0.05
2024-12-30 05:00:00,0.0054228641020093,0.114,3.0,-0.024583795784550475,0.12203329259760448,6,0.05
2025-01-30 05:00:00,0.0037707649561035,0.11974,3.0,-0.023668959383200468,0.12127685479955629,6,0.05
2025-02-27 05:00:00,0.0043295707753878,0.14949,3.0,-0.023681604554569805,0.12134164711202115,6,0.05
2025-03-28 04:00:00,0.0080737008693019,0.22244,3.5,-0.032856330490107145,0.1137084358168997,7,0.05
2025-04-29 04:00:00,0.0232725532419376,0.32047,5.0,-0.029428213088938344,0.13301965501529303,10,0.05
2025-05-30 04:00:00,0.023380504164502,0.29397,5.0,-0.02941516109314251,0.13296065816173702,10,0.05
2025-06-27 04:00:00,0.0219505316876208,0.29206,4.5,-0.026046452830896998,0.14042517769323984,9,0.05
2025-07-30 04:00:00,0.0266092067446151,0.31382,5.5,-0.01966573574968997,0.13654473533550204,11,0.05
2025-08-29 04:00:00,0.0273723923187538,0.29678,6.0,-0.008310083420738423,0.1359864818687644,12,0.05
2025-09-29 04:00:00,0.0295429831997339,0.3308,6.0,-0.008331087449150463,0.13633019248924946,12,0.05
2025-10-30 04:00:00,0.0285203121805542,0.30253,5.5,0.00016120021040412093,0.1394200387168711,11,0.05
2025-11-28 05:00:00,0.0291947462180723,0.26992,5.0,-0.009815687455905223,0.14276438082635634,10,0.05
2025-12-30 05:00:00,0.023598823740445,0.25023,5.0,-0.009769978469383999,0.14209956593812587,10,0.05
2026-01-30 05:00:00,0.024522887956859,0.28047,5.0,-0.009783278660104693,0.14229301071737768,10,0.05
2026-02-27 05:00:00,0.029696632488971,0.28565,5.0,-0.00982348189276855,0.1428777471043355,10,0.05
2026-03-30 04:00:00,0.0289519328244972,0.32599,4.5,0.005634682707728433,0.1424972236109361,9,0.05
2026-04-29 04:00:00,0.0126239093974695,0.29939,4.5,0.005558440168410371,0.14056910259021385,9,0.05
2026-05-29 04:00:00,0.0121212029320917,0.24116,4.5,0.005553153825769203,0.14043541464565765,9,0.05
2026-06-29 04:00:00,0.0117635847430931,0.19331,4.5,0.005549041460596883,0.14033141577829886,9,0.05
