date,pd_gbm,pd_jump_rolling,lambda,mu_J_asset,sigma_J_asset,n_jumps_in_window,sigma_diffusive
2023-01-30 05:00:00,0.2362764562749499,0.21939,2.0,0.08625417224998118,0.578601254732225,4,0.05
2023-02-27 05:00:00,0.1995409194712519,0.19674,2.0,0.08413969784668784,0.5644171577670494,4,0.4644858298462668
2023-03-30 04:00:00,0.2196939811095105,0.22126,0.0,0.0,0.0,3,0.7936865636871222
2023-04-28 04:00:00,0.2219608628796227,0.2027,2.0,-0.16203379221660716,0.40540220041806735,4,0.5665512452508122
2023-05-30 04:00:00,0.2225525983803276,0.1988,2.0,-0.1634420652754433,0.4089256444418822,4,0.45295048251876574
2023-06-29 04:00:00,0.2072017640003367,0.18322,2.0,-0.16321054077085664,0.40834637920142747,4,0.3792326440574054
2023-07-28 04:00:00,0.2172808159449719,0.20069,3.5,-0.08767988306266916,0.33670828852320167,7,0.39760177647857503
2023-08-30 04:00:00,0.3720397129301057,0.52048,6.0,-0.2173450569959363,0.33371323353096655,12,0.05
2023-09-29 04:00:00,0.4469535820835016,0.61449,6.0,-0.27710794238081893,0.3915420216960697,12,0.05
2023-10-30 04:00:00,0.4369732671336319,0.58888,6.0,-0.2662063222369932,0.3761384848858178,12,0.05
2023-11-29 05:00:00,0.4487320330314145,0.62479,6.0,-0.28200525646576075,0.39846172324350354,12,0.05
2023-12-29 05:00:00,0.4445655312889382,0.63533,6.0,-0.2874533603050398,0.4061596678542355,12,0.05
2024-01-30 05:00:00,0.4061287252913231,0.56813,5.5,-0.3347069166007458,0.29992257386411136,11,0.05
2024-02-28 05:00:00,0.3640938207478935,0.53323,5.5,-0.317488800357629,0.28449384656688903,11,0.05
2024-03-28 04:00:00,0.3743017139765866,0.5681,5.5,-0.33092861496618853,0.29653693139642634,11,0.05
2024-04-29 04:00:00,0.3724205522010052,0.59009,6.0,-0.3291580502308239,0.29041130307982477,12,0.05
2024-05-30 04:00:00,0.4912273731010919,0.64556,7.0,-0.1745816698822318,0.4243073175300912,14,0.05
2024-06-28 04:00:00,0.4947991274789974,0.62739,7.0,-0.1698764907937041,0.4128717417396968,14,0.05
2024-07-30 04:00:00,0.4748761405146953,0.6163,7.0,-0.16728866593259892,0.40658223250431186,14,0.05
2024-08-30 04:00:00,0.3473116641614733,0.58194,7.0,-0.15592704384002334,0.3789686840937407,14,0.05
2024-09-27 04:00:00,0.2770028987290305,0.56803,7.0,-0.14946284041194152,0.3632579349733523,14,0.05
2024-10-30 04:00:00,0.2578121627106654,0.56067,7.0,-0.1472751191645517,0.35794084678986915,14,0.05
2024-11-29 05:00:00,0.2393434220354302,0.54521,7.0,-0.14454656566691979,0.3513093074301041,14,0.05
2024-12-30 05:00:00,0.2478859891463289,0.57296,7.0,-0.1476059814587631,0.35874498214166983,14,0.05
2025-01-30 05:00:00,0.2309581628764366,0.53395,6.5,-0.13014300701263282,0.3587551269066514,13,0.05
2025-02-27 05:00:00,0.2214574687398999,0.52821,6.5,-0.1291116134460887,0.35591196430921485,13,0.05
2025-03-28 04:00:00,0.2190637918879297,0.54136,6.5,-0.12978139189041832,0.3577582905645432,13,0.05
2025-04-29 04:00:00,0.1955832990719523,0.5433,6.5,-0.1281225919150662,0.3531856054135659,13,0.05
2025-05-30 04:00:00,0.0366932067519281,0.44379,5.5,-0.05631943246688356,0.31610426043459205,11,0.05
2025-06-27 04:00:00,0.0195271222538591,0.4559,3.5,0.09120988027045869,0.29588452738506904,7,0.05
2025-07-30 04:00:00,0.0209241159511729,0.46587,3.5,0.09132114702386969,0.2962454763376283,7,0.05
2025-08-29 04:00:00,0.0202464259240838,0.47198,3.5,0.09129057020789218,0.29614628525528486,7,0.05
2025-09-29 04:00:00,0.0195378444145132,0.46016,3.5,0.09121939223115015,0.2959153841517411,7,0.05
2025-10-30 04:00:00,0.0231766750923608,0.49015,3.5,0.09152722297644247,0.2969139859952622,7,0.05
2025-11-28 05:00:00,0.0247595161607868,0.49614,3.5,0.09165092961702817,0.2973152898975977,7,0.05
2025-12-30 05:00:00,0.0269723943179252,0.55319,3.5,0.09198602698963859,0.2984023445832174,7,0.05
2026-01-30 05:00:00,0.0305443521846421,0.55436,3.5,0.1350930864018372,0.2752758261046192,7,0.05
2026-02-27 05:00:00,0.0359415488274637,0.36173,2.0,0.0745805475921495,0.15921087470984732,4,0.05
2026-03-30 04:00:00,0.0385594563903232,0.4098,2.0,0.07481363947686745,0.15970846776932252,4,0.05
2026-04-29 04:00:00,0.0508959673815324,0.32043,2.5,0.09034349975862058,0.14327859964207493,5,0.05
2026-05-29 04:00:00,0.0408681755203891,0.28238,2.5,0.08955320738861389,0.14202525009966283,5,0.05
2026-06-29 04:00:00,0.1023704537747187,0.35793,3.5,0.05461407885639507,0.20516215877371316,7,0.05
