date,pd_gbm,pd_jump_rolling,lambda,mu_J_asset,sigma_J_asset,n_jumps_in_window,sigma_diffusive
2022-12-30 05:00:00,0.1093456159265677,0.11068,0.0,0.0,0.0,2,0.2404479742179829
2023-01-30 05:00:00,0.0999609601433159,0.10146,0.0,0.0,0.0,2,0.2886696110084241
2023-02-27 05:00:00,0.0955347946754428,0.09713,0.0,0.0,0.0,2,0.2881546686193401
2023-03-30 04:00:00,0.0932237310989165,0.09467,0.0,0.0,0.0,2,0.2724056457065268
2023-04-28 04:00:00,0.0940925314582762,0.09571,0.0,0.0,0.0,2,0.2534027968224847
2023-05-30 04:00:00,0.0752119922316063,0.07645,0.0,0.0,0.0,2,0.2776716157745144
2023-06-29 04:00:00,0.0507091388796178,0.05207,0.0,0.0,0.0,3,0.336051412875849
2023-07-28 04:00:00,0.0322729543636699,0.03254,0.0,0.0,0.0,3,0.3202643268918582
2023-08-30 04:00:00,0.0320325196213696,0.03237,0.0,0.0,0.0,3,0.2874453643469551
2023-09-29 04:00:00,0.0326832818656001,0.03299,0.0,0.0,0.0,2,0.2598004182793807
2023-10-30 04:00:00,0.0142437776379404,0.01454,0.0,0.0,0.0,2,0.1938065445202708
2023-11-29 05:00:00,0.0064248988453213,0.00677,0.0,0.0,0.0,2,0.2114259436031687
2023-12-29 05:00:00,0.0040359786750113,0.00428,0.0,0.0,0.0,2,0.2397286217313767
2024-01-30 05:00:00,0.0045852510798934,0.00492,0.0,0.0,0.0,2,0.2237613204150374
2024-02-28 05:00:00,0.004531261050909,0.00484,0.0,0.0,0.0,2,0.2135218646861637
2024-03-28 04:00:00,0.0030511906763689,0.00329,0.0,0.0,0.0,2,0.2122402621707802
2024-04-29 04:00:00,0.0032510138664097,0.00359,0.0,0.0,0.0,2,0.2020827029027783
2024-05-30 04:00:00,0.0027512617800333,0.00294,0.0,0.0,0.0,2,0.1990496218015333
2024-06-28 04:00:00,0.0010722122029249,0.00127,0.0,0.0,0.0,2,0.210598323406195
2024-07-30 04:00:00,0.0012441812409197,0.00149,0.0,0.0,0.0,1,0.2003338756628629
2024-08-30 04:00:00,0.0017670524120657,0.00198,0.0,0.0,0.0,1,0.2018006105271451
2024-09-27 04:00:00,0.001466414073787,0.00169,0.0,0.0,0.0,1,0.2153812396161494
2024-10-30 04:00:00,0.000834186225505,0.00096,0.0,0.0,0.0,1,0.2314583660567637
2024-11-29 05:00:00,0.0003983409918632,0.00051,0.0,0.0,0.0,1,0.238872254389925
2024-12-30 05:00:00,0.0003006690016136,0.00032,0.0,0.0,0.0,1,0.243954000778873
2025-01-30 05:00:00,0.0001347417658318,0.0001,0.0,0.0,0.0,2,0.2503513298160672
2025-02-27 05:00:00,0.0003203275787685,0.00036,0.0,0.0,0.0,2,0.235104941760227
2025-03-28 04:00:00,0.0008333633907512,0.00096,0.0,0.0,0.0,1,0.2268857937444841
2025-04-29 04:00:00,0.0035478340324538,0.00387,0.0,0.0,0.0,3,0.2512413141341972
2025-05-30 04:00:00,0.0025850462717209,0.00277,0.0,0.0,0.0,3,0.2804114607955696
2025-06-27 04:00:00,0.0015733977531174,0.0018,0.0,0.0,0.0,3,0.2955995235410784
2025-07-30 04:00:00,0.0009385021024348,0.0011,0.0,0.0,0.0,3,0.3001142316014802
2025-08-29 04:00:00,0.0005677755888971,0.00066,0.0,0.0,0.0,3,0.2978395275168142
2025-09-29 04:00:00,0.0006975689870262,0.00079,0.0,0.0,0.0,3,0.2882433828194893
2025-10-30 04:00:00,0.0006196317174822,0.00071,0.0,0.0,0.0,3,0.2789756314657842
2025-11-28 05:00:00,0.0011758550399572,0.00236,2.0,-0.0006591367473944655,0.1447362863971383,4,0.18776790171034402
2025-12-30 05:00:00,0.0008658575506713,0.00132,2.5,0.01819368741564798,0.13222642462372394,5,0.21176383665352883
2026-01-30 05:00:00,0.000989627119719,0.00146,2.5,0.018194567996149456,0.13223282442650405,5,0.20984426569973655
2026-02-27 05:00:00,0.0011222986538722,0.00158,2.5,0.018195148583296055,0.13223704396489797,5,0.22849013863401482
2026-03-30 04:00:00,0.0022705235534446,0.00285,2.5,0.01820480741648332,0.13230724155317197,5,0.18396000683197625
2026-04-29 04:00:00,0.0008266249020448,0.00143,2.5,0.01819409518567693,0.13222938817760746,5,0.161569354655861
2026-05-29 04:00:00,0.0006917174329278,0.0012,2.5,0.018192847636284874,0.13222032135174175,5,0.18204806807425322
2026-06-29 04:00:00,0.0007655560452943,0.00125,2.5,0.018193204553242682,0.1322229153203057,5,0.19605680031465192
