date,pd_gbm,pd_jump_rolling,lambda,mu_J_asset,sigma_J_asset,n_jumps_in_window,sigma_diffusive
2023-01-30 05:00:00,0.0211992521805838,0.02179,0.0,0.0,0.0,3,0.300924201454112
2023-02-27 05:00:00,0.0185658602603631,0.01908,0.0,0.0,0.0,3,0.3153972096567012
2023-03-30 04:00:00,0.0195625511787552,0.02007,0.0,0.0,0.0,3,0.3033380996644522
2023-04-28 04:00:00,0.018173529934763,0.01868,0.0,0.0,0.0,3,0.2820464410149834
2023-05-30 04:00:00,0.0190733267357673,0.01952,0.0,0.0,0.0,3,0.2490358216597674
2023-06-29 04:00:00,0.0159878160463166,0.01648,0.0,0.0,0.0,3,0.2587738145141922
2023-07-28 04:00:00,0.0154423781137142,0.01583,0.0,0.0,0.0,3,0.26275168911774
2023-08-30 04:00:00,0.0086067637780136,0.00903,0.0,0.0,0.0,3,0.2448799265405703
2023-09-29 04:00:00,0.0120083886924463,0.03865,2.0,-0.07313443792488483,0.15511119593758688,4,0.05
2023-10-30 04:00:00,0.0122154139915234,0.01257,0.0,0.0,0.0,3,0.2089676042430559
2023-11-29 05:00:00,0.0131694844510705,0.05195,2.5,-0.11343955675177003,0.12144785872122932,5,0.05
2023-12-29 05:00:00,0.0127822165953985,0.0459,2.5,-0.11339569799965185,0.12140090374640873,5,0.05
2024-01-30 05:00:00,0.0093143549137592,0.04938,2.5,-0.11319780327102318,0.12118903857580725,5,0.05
2024-02-28 05:00:00,0.0114271641583568,0.07078,3.0,-0.11203950349160138,0.10861373418115267,6,0.05
2024-03-28 04:00:00,0.0109282516180879,0.07042,3.0,-0.11200669044572598,0.10858192444145089,6,0.05
2024-04-29 04:00:00,0.01072452689062,0.08001,3.0,-0.11201415484972303,0.10858916061053671,6,0.05
2024-05-30 04:00:00,0.0112602450900169,0.06529,3.0,-0.09883605495300674,0.10310502983632437,6,0.05
2024-06-28 04:00:00,0.0100880911364131,0.07691,3.0,-0.09878735638600558,0.10305422785716782,6,0.05
2024-07-30 04:00:00,0.0092190909873432,0.05442,3.0,-0.09869743963706491,0.10296042738034059,6,0.05
2024-08-30 04:00:00,0.0123399001281086,0.05851,2.5,-0.09093937283291341,0.11327614052990768,5,0.05
2024-09-27 04:00:00,0.0122078643467134,0.05066,2.5,-0.0909138568854088,0.11324435728833425,5,0.05
2024-10-30 04:00:00,0.0121909895279983,0.05937,2.5,-0.09093368731426642,0.11326905851923202,5,0.05
2024-11-29 05:00:00,0.0049298243559189,0.03266,3.0,-0.05675709389115514,0.13037830168788683,6,0.05
2024-12-30 05:00:00,0.0053391826463577,0.03843,3.5,-0.02809560939024516,0.141162206923535,7,0.05
2025-01-30 05:00:00,0.0050096718591663,0.03117,3.5,-0.028087942949070174,0.14112368803111738,7,0.05
2025-02-27 05:00:00,0.0036984715396521,0.02814,3.5,-0.028068024471714276,0.14102361060681026,7,0.05
2025-03-28 04:00:00,0.0049273369232655,0.03356,3.5,-0.02808759691137514,0.14112194941623166,7,0.05
2025-04-29 04:00:00,0.0193100876363753,0.1009,5.5,-0.03796037551542787,0.142082988410574,11,0.05
2025-05-30 04:00:00,0.0154030358240587,0.0794,5.5,-0.03785954857980556,0.14170560035445015,11,0.05
2025-06-27 04:00:00,0.0137243307522444,0.05488,5.0,-0.028692003007257688,0.14572883948239632,10,0.05
2025-07-30 04:00:00,0.0105332957917216,0.03703,5.0,-0.02863481211694061,0.14543836265257148,10,0.05
2025-08-29 04:00:00,0.011689060932548,0.02934,4.0,-0.021171221865723185,0.1420235176389516,8,0.05
2025-09-29 04:00:00,0.0123281017230949,0.01246,5.0,0.02413423727720521,0.1591281374017897,10,0.05
2025-10-30 04:00:00,0.0109372156895236,0.01139,5.0,0.024113615979343073,0.15899217169125493,10,0.14491220197626492
2025-11-28 05:00:00,0.0076793848115407,0.00808,5.0,0.024083302812922334,0.1587923030293255,10,0.15980436091485573
2025-12-30 05:00:00,0.004192879625943,0.00389,4.5,0.0383685997428867,0.16121501648785175,9,0.20429630955201938
2026-01-30 05:00:00,0.0027631218136136,0.00257,4.5,0.03835059384031289,0.16113936030285236,9,0.227617326133737
2026-02-27 05:00:00,0.0024033710198654,0.0015,4.0,0.05589250973277474,0.16279693468917866,8,0.236808532002793
2026-03-30 04:00:00,0.001924644613996,0.00122,4.0,0.055886742562072975,0.16278013677266776,8,0.20463222076178442
2026-04-29 04:00:00,0.0001365968428979,0.00024,4.0,0.05586086901612916,0.162704775440902,8,0.05
2026-05-29 04:00:00,9.137279057075807e-05,0.00024,4.0,0.05586019577220169,0.16270281449750879,8,0.05
2026-06-29 04:00:00,5.773776901783214e-05,0.00026,5.5,0.042753116755724706,0.13868438419283605,11,0.05
